1513657110.853667,28,28,r,173664 structure.c 595 DATA: Node 28, packet 29 sent; IPI 3000
1513657115.369432,28,28,r,178170 structure.c 595 DATA: Node 28, packet 30 sent; IPI 3000
1513657119.860155,28,28,r,182676 structure.c 595 DATA: Node 28, packet 31 sent; IPI 3000
1513657124.379429,28,28,r,187182 structure.c 595 DATA: Node 28, packet 32 sent; IPI 3000
1513657128.870392,28,28,r,191688 structure.c 595 DATA: Node 28, packet 33 sent; IPI 3000
1513657133.379677,28,28,r,196194 structure.c 595 DATA: Node 28, packet 34 sent; IPI 3000
1513657137.903635,28,28,r,200700 structure.c 595 DATA: Node 28, packet 35 sent; IPI 3000
1513657142.389806,28,28,r,205206 structure.c 595 DATA: Node 28, packet 36 sent; IPI 3000
1513657146.911566,28,28,r,209711 structure.c 595 DATA: Node 28, packet 37 sent; IPI 3000
1513656980.191716,31,31,r, 42966 structure.c 595 DATA: Node 31, packet 0 sent; IPI 3000
1513656984.700557,31,31,r, 47471 structure.c 595 DATA: Node 31, packet 1 sent; IPI 3000
1513656989.196106,31,31,r, 51977 structure.c 595 DATA: Node 31, packet 2 sent; IPI 3000
1513656993.711335,31,31,r, 56483 structure.c 595 DATA: Node 31, packet 3 sent; IPI 3000
1513656998.200563,31,31,r, 60989 structure.c 595 DATA: Node 31, packet 4 sent; IPI 3000
1513657002.710381,31,31,r, 65495 structure.c 595 DATA: Node 31, packet 5 sent; IPI 3000
1513657007.230736,31,31,r, 70000 structure.c 595 DATA: Node 31, packet 6 sent; IPI 3000
1513657011.720290,31,31,r, 74506 structure.c 595 DATA: Node 31, packet 7 sent; IPI 3000
1513657016.240593,31,31,r, 79012 structure.c 595 DATA: Node 31, packet 8 sent; IPI 3000
1513657020.730575,31,31,r, 83518 structure.c 595 DATA: Node 31, packet 9 sent; IPI 3000
1513657025.250768,31,31,r, 88024 structure.c 595 DATA: Node 31, packet 10 sent; IPI 3000
1513657029.740617,31,31,r, 92529 structure.c 595 DATA: Node 31, packet 11 sent; IPI 3000
1513657034.250669,31,31,r, 97035 structure.c 595 DATA: Node 31, packet 12 sent; IPI 3000
1513657038.770334,31,31,r,101541 structure.c 595 DATA: Node 31, packet 13 sent; IPI 3000
1513657043.260490,31,31,r,106047 structure.c 595 DATA: Node 31, packet 14 sent; IPI 3000
1513657047.781367,31,31,r,110553 structure.c 595 DATA: Node 31, packet 15 sent; IPI 3000
1513657052.270416,31,31,r,115059 structure.c 595 DATA: Node 31, packet 16 sent; IPI 3000
1513657056.780244,31,31,r,119565 structure.c 595 DATA: Node 31, packet 17 sent; IPI 3000
1513657061.300565,31,31,r,124071 structure.c 595 DATA: Node 31, packet 18 sent; IPI 3000
1513657065.790051,31,31,r,128577 structure.c 595 DATA: Node 31, packet 19 sent; IPI 3000
1513657070.310465,31,31,r,133082 structure.c 595 DATA: Node 31, packet 20 sent; IPI 3000
1513657074.800216,31,31,r,137588 structure.c 595 DATA: Node 31, packet 21 sent; IPI 3000
1513657079.310663,31,31,r,142094 structure.c 595 DATA: Node 31, packet 22 sent; IPI 3000
1513657083.829876,31,31,r,146600 structure.c 595 DATA: Node 31, packet 23 sent; IPI 3000
1513657088.320518,31,31,r,151106 structure.c 595 DATA: Node 31, packet 24 sent; IPI 3000
1513657092.849639,31,31,r,155612 structure.c 595 DATA: Node 31, packet 25 sent; IPI 3000
1513657097.330420,31,31,r,160118 structure.c 595 DATA: Node 31, packet 26 sent; IPI 3000
1513657101.848782,31,31,r,164624 structure.c 595 DATA: Node 31, packet 27 sent; IPI 3000
1513657106.341301,31,31,r,169130 structure.c 595 DATA: Node 31, packet 28 sent; IPI 3000
1513657110.857388,31,31,r,173635 structure.c 595 DATA: Node 31, packet 29 sent; IPI 3000
1513657115.370795,31,31,r,178141 structure.c 595 DATA: Node 31, packet 30 sent; IPI 3000
1513657119.860630,31,31,r,182647 structure.c 595 DATA: Node 31, packet 31 sent; IPI 3000
1513657124.380832,31,31,r,187153 structure.c 595 DATA: Node 31, packet 32 sent; IPI 3000
1513657128.870771,31,31,r,191659 structure.c 595 DATA: Node 31, packet 33 sent; IPI 3000
1513657133.380328,31,31,r,196165 structure.c 595 DATA: Node 31, packet 34 sent; IPI 3000
1513657137.901366,31,31,r,200671 structure.c 595 DATA: Node 31, packet 35 sent; IPI 3000
1513657142.390470,31,31,r,205177 structure.c 595 DATA: Node 31, packet 36 sent; IPI 3000
1513657146.911423,31,31,r,209683 structure.c 595 DATA: Node 31, packet 37 sent; IPI 3000
1513657151.400522,31,31,r,214188 structure.c 595 DATA: Node 31, packet 38 sent; IPI 3000
1513656992.950582,1,1,r, 55767 structure.c 398 DATA: Node 33, packet 0 received; ETE 56000
1513656994.032454,1,1,r, 56833 structure.c 398 DATA: Node 28, packet 0 received; ETE 55000
1513656994.032454,1,1,r, 56840 structure.c 398 DATA: Node 32, packet 0 received; ETE 53000
1513656995.100570,1,1,r, 57899 structure.c 398 DATA: Node 33, packet 1 received; ETE 56000
1513656996.150666,1,1,r, 58965 structure.c 398 DATA: Node 28, packet 3 received; ETE 55000
1513656997.231502,1,1,r, 60031 structure.c 398 DATA: Node 31, packet 0 received; ETE 56000
1513656997.231502,1,1,r, 60038 structure.c 398 DATA: Node 32, packet 3 received; ETE 53000
1513656998.281711,1,1,r, 61097 structure.c 398 DATA: Node 6, packet 0 received; ETE 56000
1513656998.315072,1,1,r, 61103 structure.c 398 DATA: Node 22, packet 0 received; ETE 51000
1513656999.362735,1,1,r, 62163 structure.c 398 DATA: Node 31, packet 4 received; ETE 56000
1513656999.362735,1,1,r, 62170 structure.c 398 DATA: Node 28, packet 4 received; ETE 55000
1513656999.362735,1,1,r, 62176 structure.c 398 DATA: Node 3, packet 0 received; ETE 57000
1513657000.430147,1,1,r, 63229 structure.c 398 DATA: Node 6, packet 5 received; ETE 56000
1513657001.482156,1,1,r, 64295 structure.c 398 DATA: Node 33, packet 2 received; ETE 56000
1513657001.510778,1,1,r, 64302 structure.c 398 DATA: Node 8, packet 0 received; ETE 59000
1513657001.510778,1,1,r, 64308 structure.c 398 DATA: Node 22, packet 4 received; ETE 51000
1513657001.510778,1,1,r, 64314 structure.c 398 DATA: Node 32, packet 4 received; ETE 53000
1513657002.561880,1,1,r, 65361 structure.c 398 DATA: Node 3, packet 2 received; ETE 57000
1513657002.561880,1,1,r, 65367 structure.c 398 DATA: Node 15, packet 0 received; ETE 55000
